Number: 72773, naive: goal - (-40.0, 60.0), success: 0
Number: 79671, naive: goal - (-40.0, 60.0), success: 0
Number: 58159, critic: goal - (-30.0, 60.0), success: 0
Number: 33397, critic: goal - (-30.0, 60.0), success: 0
Number: 61981, critic: goal - (-30.0, 60.0), success: 0
Number: 94352, critic: goal - (-30.0, 72.0), success: 0
Number: 53763, critic: goal - (-30.0, 72.0), success: 0
Number: 71361, critic: goal - (-30.0, 72.0), success: 0
Number: 24265, critic: goal - (-30.0, 72.0), success: 0
Number: 71404, critic: goal - (-30.0, 72.0), success: 0
Number: 97709, critic: goal - (-30.0, 72.0), success: 0
Number: 21126, critic: goal - (-30.0, 72.0), success: 0
Number: 44695, critic: goal - (-30.0, 72.0), success: 0
Number: 93314, critic: goal - (-30.0, 72.0), success: 0
Number: 82371, critic: goal - (-30.0, 72.0), success: 0
Number: 55646, critic: goal - (-20.0, 80.0), success: 1
Number: 56227, naive: goal - (-20.0, 80.0), success: 0
Number: 65180, critic: goal - (-30.0, 80.0), success: 1
Number: 37734, naive: goal - (-30.0, 80.0), success: 0
Number: 98895, critic: goal - (-25.0, 75.0), success: 1
Number: 10461, naive: goal - (-25.0, 75.0), success: 0
