Number: 2772, robust: goal - (-24.0, 65.0), success: 1
Number: 6371, robust: goal - (-24.0, 65.0), success: 1
Number: 7809, naive: goal - (-24.0, 65.0), success: 0
Number: 8367, robust: goal - (-25.0, 65.0), success: 1
Number: 5273, robust: goal - (-25.0, 65.0), success: 1
Number: 41908, robust: goal - (-49.0, 67.0), success: 1
Number: 49520, robust: goal - (-49.0, 67.0), success: 1
Number: 8926, naive: goal - (-49.0, 67.0), success: 1
Number: 3382, robust: goal - (92.0, 82.0), success: 0
Number: 51044, robust: goal - (1.690000057220459, 80.0), success: 0
Number: 53791, robust: goal - (1.690000057220459, 80.0), success: 0
Number: 97320, robust: goal - (-25.0, 65.0), success: 1
Number: 52455, naive: goal - (-25.0, 65.0), success: 1
Number: 7320, robust: goal - (68.0, 74.0), success: 1
Number: 37605, naive: goal - (68.0, 74.0), success: 1
Number: 1648, robust: goal - (-28.0, 95.0), success: 1
Number: 77131, naive: goal - (-28.0, 95.0), success: 1
Number: 74943, robust: goal - (68.0, 74.0), success: 1
Number: 97834, robust: goal - (68.0, 74.0), success: 1
Number: 49538, robust: goal - (68.0, 74.0), success: 1
Number: 86178, naive: goal - (68.0, 74.0), success: 1
Number: 70351, naive: goal - (68.0, 74.0), success: 1
Number: 95584, naive: goal - (68.0, 74.0), success: 1
Number: 41879, naive: goal - (68.0, 74.0), success: 0
Number: 88115, naive: goal - (-28.0, 95.0), success: 1
Number: 17013, robust: goal - (-28.0, 95.0), success: 1
Number: 22395, robust: goal - (-28.0, 95.0), success: 0
Number: 69724, robust: goal - (100.0, 60.0), success: 0
Number: 38255, robust: goal - (80.0, 70.0), success: 0
Number: 6957, robust: goal - (80.0, 70.0), success: 0
Number: 41737, robust: goal - (-28.0, 95.0), success: 1
Number: 30475, robust: goal - (-35.0, 92.0), success: 1
Number: 67072, robust: goal - (-35.0, 92.0), success: 1
Number: 65013, robust: goal - (-35.0, 92.0), success: 1
Number: 18427, robust: goal - (-35.0, 92.0), success: 1
Number: 3174, naive: goal - (-35.0, 92.0), success: 1
Number: 17482, naive: goal - (-35.0, 92.0), success: 1
Number: 79147, naive: goal - (-28.0, 95.0), success: 1
Number: 83954, naive: goal - (60.0, 100.0), success: 1
